#  Time     Vel  VelUpp  VelLow
#
# The original velocity profile was corrected at time=1251-1255s:
# velocity 1.6 was set to 0.0
#
 157.00    0.00    3.22   -3.22
 158.00    0.00    3.22   -3.22
 159.00    0.00    3.22   -3.22
 160.00    0.00    3.22   -3.22
 161.00    0.00    3.22   -3.22
 162.00    0.00    3.22   -3.22
 163.00    0.00    8.53   -3.22
 164.00    5.31   13.84   -3.22
 165.00   10.62   19.15    2.09
 166.00   15.93   24.46    7.40
 167.00   21.24   29.77   12.71
 168.00   26.55   35.08   18.02
 169.00   31.87   38.95   23.34
 170.00   35.73   42.33   28.65
 171.00   39.11   44.74   32.51
 172.00   41.52   45.71   35.89
 173.00   42.49   45.71   38.14
 174.00   41.36   45.71   37.18
 175.00   40.39   44.58   36.53
 176.00   39.75   43.61   36.53
 177.00   40.23   43.77   36.53
 178.00   40.56   44.10   37.01
 179.00   40.88   44.74   37.34
 180.00   41.52   46.99   37.66
 181.00   43.77   46.99   39.43
 182.00   42.65   46.99   35.41
 183.00   38.62   45.87   33.31
 184.00   36.53   41.84   28.00
 185.00   31.22   39.75   25.27
 186.00   28.49   34.44   24.46
 187.00   27.68   31.70   24.46
 188.00   29.13   33.15   24.46
 189.00   29.93   35.41   25.91
 190.00   32.19   38.95   26.72
 191.00   35.73   42.65   28.97
 192.00   39.43   47.15   32.51
 193.00   43.94   52.30   36.21
 194.00   49.08   57.13   40.72
 195.00   53.91   61.48   45.87
 196.00   58.26   63.25   50.69
 197.00   60.03   66.47   55.04
 198.00   63.25   68.40   56.81
 199.00   65.18   70.97   60.03
 200.00   67.75   73.23   61.96
 201.00   70.01   75.80   64.53
 202.00   72.58   77.25   66.79
 203.00   74.03   78.54   69.36
 204.00   75.32   79.66   70.81
 205.00   76.44   79.66   72.10
 206.00   76.44   79.66   72.90
 207.00   76.12   79.66   72.74
 208.00   75.96   79.34   72.42
 209.00   75.64   79.18   72.42
 210.00   75.64   78.86   72.42
 211.00   75.64   78.86   72.42
 212.00   75.64   78.86   72.42
 213.00   75.64   79.18   72.42
 214.00   75.96   79.50   72.42
 215.00   76.28   80.31   72.74
 216.00   77.09   81.27   73.06
 217.00   78.05   82.24   73.87
 218.00   79.02   82.88   74.83
 219.00   79.66   83.69   75.80
 220.00   80.47   84.65   76.44
 221.00   81.43   85.30   77.25
 222.00   82.08   86.10   78.21
 223.00   82.88   87.23   78.86
 224.00   84.01   88.84   79.66
 225.00   85.62   90.28   80.79
 226.00   87.07   91.09   82.40
 227.00   87.87   91.57   83.85
 228.00   88.35   91.73   84.65
 229.00   88.51   91.73   85.13
 230.00   88.35   91.73   84.65
 231.00   87.87   91.57   84.65
 232.00   87.87   91.41   84.65
 233.00   88.19   91.89   84.65
 234.00   88.67   92.54   84.97
 235.00   89.32   92.86   85.46
 236.00   89.64   93.50   86.10
 237.00   90.28   93.82   86.42
 238.00   90.61   94.31   87.07
 239.00   91.09   94.47   87.39
 240.00   91.25   94.47   87.87
 241.00   91.25   94.47   87.71
 242.00   90.93   94.47   87.71
 243.00   90.93   94.15   87.71
 244.00   90.93   94.15   87.71
 245.00   90.93   94.15   87.71
 246.00   90.93   94.15   87.71
 247.00   90.93   94.15   87.55
 248.00   90.77   94.15   87.07
 249.00   90.28   93.99   86.58
 250.00   89.80   93.50   85.46
 251.00   88.67   93.02   84.65
 252.00   87.87   91.89   84.01
 253.00   87.23   91.09   83.69
 254.00   86.90   90.45   83.20
 255.00   86.42   90.12   83.04
 256.00   86.26   89.64   83.04
 257.00   86.74   90.12   83.04
 258.00   86.90   90.28   83.52
 259.00   87.07   90.28   83.69
 260.00   87.07   90.28   83.36
 261.00   86.58   90.28   82.72
 262.00   85.94   89.80   82.08
 263.00   85.30   89.16   81.43
 264.00   84.65   88.51   80.63
 265.00   83.85   87.87   80.63
 266.00   84.33   87.55   80.47
 267.00   83.69   87.55   80.31
 268.00   83.52   86.90   79.98
 269.00   83.20   86.74   79.66
 270.00   82.88   86.42   79.66
 271.00   83.04   86.58   79.66
 272.00   83.36   87.07   79.82
 273.00   83.85   87.71   80.15
 274.00   84.49   88.51   80.63
 275.00   85.30   89.32   81.27
 276.00   86.10   90.12   82.08
 277.00   86.90   91.57   82.88
 278.00   88.35   92.38   83.69
