#Name	Car.Gen.vx_1	DM.Steer.Ang	Time
#Unit	m/s	rad	s
#nStates	0	0	0
	         1.4367886	     0.00065765245	              2.52
	         1.4701707	      0.0011640365	              2.54
	         1.5035049	      0.0017124473	         2.5599999
	         1.5361919	      0.0019459147	         2.5799999
	          1.568538	      0.0016613632	         2.5999999
	         1.6012465	      0.0014305722	         2.6199999
	         1.6346766	      0.0014297384	         2.6400001
	         1.6686176	      0.0016429586	         2.6600001
	         1.7026054	      0.0020191167	         2.6800001
	         1.7363911	       0.002498596	               2.7
	         1.7701079	      0.0030310368	              2.72
	         1.8040466	      0.0034967677	              2.74
	         1.8383443	      0.0034827292	              2.76
	         1.8728898	      0.0033652703	              2.78
	         1.9074755	      0.0034163198	               2.8
	         1.9419998	      0.0036459612	         2.8199999
	          1.976523	      0.0040082699	         2.8399999
	         2.0111654	      0.0044559371	         2.8599999
	         2.0459759	      0.0049473024	         2.8800001
	         2.0809038	        0.00544577	         2.9000001
	         2.1158648	      0.0056949267	         2.9200001
	          2.150799	      0.0057313382	         2.9400001
	         2.1855278	      0.0058385092	              2.96
	         2.2200897	      0.0060697235	              2.98
	         2.2546778	      0.0063934913	                 3
	         2.2893994	      0.0067754323	              3.02
	         2.3242679	      0.0071493778	              3.04
	         2.3592482	      0.0073263436	         3.0599999
	         2.3943017	      0.0074677677	         3.0799999
	          2.429409	      0.0076878718	         3.0999999
	         2.4645722	       0.007982932	         3.1199999
	         2.4998016	      0.0083244247	         3.1400001
	         2.5351079	      0.0086650439	         3.1600001
	         2.5704973	      0.0088792928	         3.1800001
	         2.6059711	      0.0090560354	               3.2
	         2.6415277	      0.0092654964	              3.22
	         2.6771629	      0.0095097767	              3.24
	         2.7128737	      0.0097482214	              3.26
	         2.7486582	      0.0099259373	              3.28
	         2.7845132	       0.010110207	               3.3
	         2.8204346	       0.010328152	         3.3199999
	         2.8564167	       0.010541719	         3.3399999
	         2.8924527	       0.010748391	         3.3599999
	         2.9285352	       0.010969941	         3.3800001
	         2.9646561	       0.011191834	         3.4000001
	          3.000807	        0.01142088	         3.4200001
	         3.0369787	       0.011647573	         3.4400001
	         3.0731101	       0.011881717	              3.46
	         3.1084816	       0.012125732	              3.48
	          3.143117	       0.012380553	               3.5
	         3.1775255	       0.012643175	              3.52
	         3.2118554	       0.012909449	              3.54
	         3.2461197	       0.013175669	         3.5599999
	         3.2803154	       0.013438724	         3.5799999
	         3.3144424	       0.013696216	         3.5999999
	         3.3485026	       0.013946507	         3.6199999
	         3.3825006	       0.014188592	         3.6400001
	         3.4164433	       0.014421931	         3.6600001
	         3.4503386	       0.014646308	         3.6800001
	         3.4841955	       0.014861739	               3.7
	          3.518023	       0.015068389	              3.72
	         3.5518312	        0.01526653	              3.74
	          3.585623	       0.015456489	              3.76
	         3.6192946	       0.015638888	              3.78
	         3.6546714	       0.015812276	               3.8
	         3.6910264	       0.015976172	         3.8199999
	         3.7271724	       0.016133251	         3.8399999
	         3.7627802	          0.016285	         3.8599999
	         3.7978952	       0.016431471	         3.8800001
	         3.8326459	       0.016572576	         3.9000001
	         3.8671374	        0.01670837	         3.9200001
	         3.9014418	        0.01683896	         3.9400001
	         3.9356034	       0.016964398	              3.96
	         3.9696474	       0.017084664	              3.98
	         4.0035849	       0.017199704	                 4
	         4.0374169	       0.017309483	              4.02
	          4.071137	        0.01741387	              4.04
	         4.1047392	       0.017512731	         4.0599999
	         4.1382222	       0.017606031	         4.0799999
	         4.1715841	       0.017693756	         4.0999999
	         4.2048259	       0.017775862	         4.1199999
	         4.2379484	       0.017852321	         4.1399999
	         4.2709522	       0.017923146	         4.1599998
	         4.3038449	       0.017988287	         4.1799998
	         4.3366375	       0.018047819	         4.1999998
	         4.3693376	       0.018101798	         4.2199998
	         4.4019504	       0.018150287	         4.2399998
	         4.4344835	       0.018193383	         4.2600002
	         4.4669437	       0.018231213	         4.2800002
	         4.4993405	       0.018263903	         4.3000002
	         4.5316806	       0.018291587	         4.3200002
	         4.5639729	       0.018314421	         4.3400002
	         4.5962248	       0.018332552	         4.3600001
	         4.6284423	        0.01834614	         4.3800001
	         4.6606312	       0.018355349	         4.4000001
	         4.6927958	       0.018360306	         4.4200001
	         4.7249389	        0.01836119	         4.4400001
	         4.7570624	       0.018358219	              4.46
	         4.7891698	       0.018351523	              4.48
	         4.8212624	       0.018341171	               4.5
	         4.8533421	       0.018327232	              4.52
	         4.8854089	       0.018309809	              4.54
	         4.9174633	       0.018288985	         4.5599999
	         4.9495049	       0.018264819	         4.5799999
	         4.9815316	        0.01823739	         4.5999999
	         5.0135427	       0.018206798	         4.6199999
	          5.045536	       0.018173117	         4.6399999
	         5.0775099	       0.018136384	         4.6599998
	         5.1094613	       0.018096654	         4.6799998
	         5.1413884	       0.018053956	         4.6999998
	         5.1732888	       0.018008284	         4.7199998
	         5.2051616	       0.017959675	         4.7399998
	         5.2370052	       0.017908245	         4.7600002
	         5.2688198	       0.017854113	         4.7800002
	         5.3006058	       0.017797388	         4.8000002
	         5.3323631	       0.017738167	         4.8200002
	         5.3640933	       0.017676575	         4.8400002
	         5.3957973	        0.01761272	         4.8600001
	         5.4274764	       0.017546691	         4.8800001
	         5.4591322	       0.017478583	         4.9000001
	         5.4907656	        0.01740849	         4.9200001
	          5.522378	       0.017336521	         4.9400001
	         5.5539694	       0.017262792	              4.96
	         5.5855412	       0.017187413	              4.98
	         5.6170945	         0.0171105	                 5
	         5.6486306	       0.017032167	              5.02
	           5.68015	        0.01695253	              5.04
	         5.7116542	       0.016871698	         5.0599999
	          5.743144	       0.016789794	         5.0799999
	         5.7746205	       0.016706925	         5.0999999
	         5.8060846	       0.016623208	         5.1199999
	         5.8375359	       0.016538732	         5.1399999
	         5.8689756	       0.016453629	         5.1599998
	         5.9004035	        0.01636805	         5.1799998
	         5.9318209	       0.016282111	         5.1999998
	         5.9632268	        0.01619589	         5.2199998
	         5.9946222	       0.016109457	         5.2399998
	         6.0260072	       0.016022896	         5.2600002
	         6.0573816	       0.015936304	         5.2800002
	         6.0887461	       0.015849788	         5.3000002
	            6.1201	        0.01576343	         5.3200002
	         6.1514454	       0.015677292	         5.3400002
	         6.1827826	       0.015591448	         5.3600001
	         6.2141128	       0.015506014	         5.3800001
	         6.2454357	       0.015421111	         5.4000001
	          6.276752	       0.015336845	         5.4200001
	         6.3080611	       0.015253318	         5.4400001
	         6.3393631	       0.015170618	              5.46
	         6.3706584	       0.015088834	              5.48
	         6.4019499	        0.01500803	               5.5
	         6.4332395	       0.014928275	              5.52
	           6.46453	       0.014849637	              5.54
	         6.4958215	       0.014772193	         5.5599999
	         6.5271149	       0.014696025	         5.5799999
	         6.5584106	       0.014621205	         5.5999999
	         6.5897083	       0.014547799	         5.6199999
	         6.6210084	       0.014475867	         5.6399999
	         6.6523113	       0.014405469	         5.6599998
	         6.6836166	       0.014336642	         5.6799998
	         6.7149243	        0.01426946	         5.6999998
	         6.7462349	       0.014204021	         5.7199998
	         6.7775483	       0.014140393	         5.7399998
	         6.8088641	       0.014078602	         5.7600002
	         6.8401828	       0.014018662	         5.7800002
	         6.8715034	       0.013960598	         5.8000002
	         6.9028258	       0.013904445	         5.8200002
	         6.9341493	       0.013850247	         5.8400002
	         6.9654717	       0.013798048	         5.8600001
	         6.9967923	        0.01374789	         5.8800001
	           7.02811	       0.013699817	         5.9000001
	         7.0594244	       0.013653861	         5.9200001
	         7.0907335	       0.013610064	         5.9400001
	         7.1220374	       0.013568471	              5.96
	         7.1533341	       0.013529113	              5.98
	         7.1846232	       0.013491979	                 6
	         7.2159042	       0.013457074	              6.02
	         7.2471757	       0.013424429	              6.04
	         7.2784371	       0.013394091	         6.0599999
	         7.3096881	       0.013366097	         6.0799999
	         7.3409281	       0.013340468	         6.0999999
	         7.3721566	       0.013317208	         6.1199999
	         7.4033732	        0.01329632	         6.1399999
	         7.4345775	       0.013277799	         6.1599998
	         7.4657693	        0.01326164	         6.1799998
	         7.4969487	       0.013247838	         6.1999998
	         7.5281153	       0.013236382	         6.2199998
	          7.559269	        0.01322726	         6.2399998
	         7.5904098	       0.013220462	         6.2600002
	         7.6215377	       0.013215975	         6.2800002
	         7.6526532	       0.013213784	         6.3000002
	         7.6837559	       0.013213874	         6.3200002
	         7.7148457	       0.013216231	         6.3400002
	          7.745923	       0.013220841	         6.3600001
	          7.776988	        0.01322769	         6.3800001
	         7.8080411	       0.013236766	         6.4000001
	         7.8390813	       0.013248052	         6.4200001
	           7.87011	       0.013261532	         6.4400001
	         7.9011264	       0.013277197	              6.46
	         7.9321313	       0.013295028	              6.48
	         7.9631238	        0.01331501	               6.5
	         7.9941044	       0.013337129	              6.52
	         8.0250731	       0.013361366	              6.54
	         8.0560303	       0.013387702	         6.5599999
	         8.0869761	       0.013416121	         6.5799999
	         8.1179104	       0.013446601	         6.5999999
	         8.1488333	        0.01347912	         6.6199999
	         8.1797447	       0.013513657	         6.6399999
	         8.2106447	       0.013550189	         6.6599998
	         8.2415333	       0.013588694	         6.6799998
	         8.2724075	       0.013629143	         6.6999998
	         8.3032684	       0.013671512	         6.7199998
	         8.3341141	       0.013715774	         6.7399998
	         8.3649435	       0.013761899	         6.7600002
	         8.3957586	       0.013809861	         6.7800002
	         8.4265575	       0.013859629	         6.8000002
	         8.4573412	       0.013911176	         6.8200002
	         8.4881086	       0.013964475	         6.8400002
	         8.5188608	       0.014019497	         6.8600001
	         8.5495939	       0.014076213	         6.8800001
	         8.5803089	         0.0141346	         6.9000001
	         8.6110039	       0.014194623	         6.9200001
	         8.6416788	       0.014256258	         6.9400001
	         8.6723337	       0.014319478	              6.96
	         8.7029705	        0.01438425	              6.98
	         8.7335873	       0.014450553	                 7
	          8.764185	       0.014518353	              7.02
	         8.7947645	       0.014587624	              7.04
	          8.825326	       0.014658325	         7.0599999
	         8.8558693	       0.014730419	         7.0799999
	         8.8863955	       0.014803873	         7.0999999
	         8.9169044	       0.014878649	         7.1199999
	         8.9473963	       0.014954718	         7.1399999
	         8.9778728	       0.015032045	         7.1599998
	         9.0083342	       0.015110597	         7.1799998
	         9.0387802	       0.015190341	         7.1999998
	          9.069211	       0.015271246	         7.2199998
	         9.0996284	       0.015353284	         7.2399998
	         9.1300316	       0.015436421	         7.2600002
	         9.1604223	       0.015520631	         7.2800002
	         9.1907997	       0.015605884	         7.3000002
	         9.2211647	       0.015692146	         7.3200002
	         9.2515182	         0.0157794	         7.3400002
	         9.2818604	       0.015867606	         7.3600001
	         9.3121872	       0.015956743	         7.3800001
	          9.342495	       0.016046777	         7.4000001
	         9.3727789	       0.016137697	         7.4200001
	          9.403039	       0.016229514	         7.4400001
	         9.4332733	       0.016322106	              7.46
	         9.4634809	       0.016415419	              7.48
	         9.4936619	       0.016509449	               7.5
	         9.5238171	       0.016604124	              7.52
	         9.5539455	       0.016699476	              7.54
	         9.5840435	       0.016795537	         7.5599999
	         9.6141081	       0.016892273	         7.5799999
	         9.6441355	       0.016989635	         7.5999999
	         9.6741247	       0.017087582	         7.6199999
	         9.7040758	       0.017186087	         7.6399999
	         9.7339878	       0.017285123	         7.6599998
	         9.7638626	       0.017384682	         7.6799998
	         9.7936993	       0.017484747	         7.6999998
	         9.8234997	       0.017585309	         7.7199998
	         9.8532629	       0.017686354	         7.7399998
	         9.8829918	       0.017787868	         7.7600002
	         9.9126854	       0.017889848	         7.7800002
	         9.9423456	        0.01799228	         7.8000002
	         9.9719744	       0.018095158	         7.8200002
	         10.001572	       0.018198468	         7.8400002
	         10.031139	         0.0183022	         7.8600001
	         10.060678	        0.01840633	         7.8800001
	          10.09019	       0.018510824	         7.9000001
	         10.119676	        0.01861565	         7.9200001
	         10.149137	       0.018720776	         7.9400001
	         10.178576	       0.018826168	              7.96
	         10.207993	       0.018931806	              7.98
	          10.23739	       0.019037662	                 8
	         10.266767	       0.019143708	         8.0200005
	         10.296125	       0.019249918	              8.04
	         10.325468	       0.019356271	         8.0600004
	         10.354795	       0.019462731	         8.0799999
	         10.384102	       0.019569261	         8.1000004
	         10.413391	       0.019675834	         8.1199999
	         10.442657	       0.019782402	         8.1400003
	         10.471796	       0.019888431	         8.1599998
	         10.500207	       0.019991847	         8.1800003
	         10.526609	       0.020088561	         8.1999998
	         10.549139	       0.020170743	         8.2200003
	         10.563987	       0.020231048	         8.2399998
	         10.571017	       0.020282393	         8.2600002
	         10.575879	        0.02031585	         8.2799997
	         10.579722	       0.020330952	         8.3000002
	         10.582458	       0.020337274	         8.3199997
	         10.584035	        0.02034164	         8.3400002
	         10.584483	       0.020348145	         8.3599997
	         10.583876	       0.020358097	         8.3800001
	         10.582116	       0.020371521	         8.3999996
	         10.579544	       0.020390071	         8.4200001
	         10.576543	       0.020414524	         8.4399996
	         10.573277	       0.020445894	              8.46
	         10.569845	        0.02048536	         8.4799995
	         10.566335	       0.020533526	               8.5
	         10.569198	       0.020584794	         8.5200005
	         10.591511	       0.020609522	              8.54
	         10.610021	        0.02066928	         8.5600004
	         10.615189	       0.020800358	         8.5799999
	         10.615824	       0.020957254	         8.6000004
	         10.616162	       0.021096531	         8.6199999
	          10.61685	       0.021208344	         8.6400003
	          10.61795	       0.021301407	         8.6599998
	         10.619922	       0.021385103	         8.6800003
	         10.623121	       0.021464499	         8.6999998
	         10.627641	       0.021541866	         8.7200003
	         10.633439	       0.021617692	         8.7399998
	         10.640409	       0.021694515	         8.7600002
	         10.648419	       0.021772502	         8.7799997
	         10.657372	       0.021850174	         8.8000002
	         10.667191	       0.021926543	         8.8199997
	         10.677803	       0.022001516	         8.8400002
	         10.689142	       0.022075547	         8.8599997
	         10.701156	       0.022149691	         8.8800001
	         10.713804	       0.022224173	         8.8999996
	         10.727051	       0.022299156	         8.9200001
	         10.740858	        0.02237452	         8.9399996
	         10.755193	       0.022450097	              8.96
	         10.770021	        0.02252592	         8.9799995
	          10.78532	       0.022602722	                 9
	         10.801074	       0.022680348	         9.0200005
	         10.817267	       0.022759035	              9.04
	         10.833885	       0.022838723	         9.0600004
	         10.850914	       0.022918688	         9.0799999
	         10.868342	       0.022998119	         9.1000004
	         10.886155	       0.023076434	         9.1199999
	         10.904339	        0.02315326	         9.1400003
	         10.922882	       0.023229452	         9.1599998
	         10.941775	        0.02330504	         9.1800003
	         10.961014	       0.023379747	         9.1999998
	          10.98059	       0.023453427	         9.2200003
	         11.000496	       0.023526032	         9.2399998
	         11.020724	        0.02359768	         9.2600002
	         11.041265	        0.02366858	         9.2799997
	         11.062109	       0.023738813	         9.3000002
	         11.083248	       0.023808369	         9.3199997
	         11.104672	       0.023877302	         9.3400002
	         11.126373	         0.0239456	         9.3599997
	         11.148336	       0.024013443	         9.3800001
	         11.170553	       0.024081489	         9.3999996
	         11.193014	       0.024149409	         9.4200001
	         11.215714	       0.024217209	         9.4399996
	          11.23864	        0.02428497	              9.46
	         11.261786	       0.024352755	         9.4799995
	          11.28514	       0.024420602	               9.5
	         11.308697	       0.024488503	         9.5200005
	         11.332445	        0.02455641	              9.54
	         11.356379	       0.024624214	         9.5600004
	         11.380491	       0.024691742	         9.5799999
	         11.404778	       0.024758948	         9.6000004
	         11.429232	       0.024825752	         9.6199999
	          11.45385	       0.024891865	         9.6400003
	         11.478626	       0.024956945	         9.6599998
	         11.503554	       0.025020678	         9.6800003
	         11.528632	       0.025083734	         9.6999998
	         11.553854	       0.025146533	         9.7200003
	         11.579218	       0.025208341	         9.7399998
	         11.604724	       0.025268732	         9.7600002
	         11.630366	       0.025327774	         9.7799997
	         11.656144	       0.025385665	         9.8000002
	         11.682055	       0.025442405	         9.8199997
